1,Ken,Sánchez,Newport Hills
2,Terri,Duffy,Renton
3,Roberto,Tamburello,Redmond
4,Rob,Walters,Minneapolis
5,Gail,Erickson,Bellevue
6,Jossef,Goldberg,Renton
7,Dylan,Miller,Kenmore
8,Diane,Margheim,Everett
9,Gigi,Matthew,Bellevue
10,Michael,Raheem,San Francisco
11,Ovidiu,Cracium,Kenmore
12,Thierry,D'Hers,Bothell
13,Janice,Galvin,Redmond
14,Michael,Sullivan,Renton
15,Sharon,Salavaria,Renton
16,David,Bradley,Redmond
17,Kevin,Brown,Everett
18,John,Wood,Redmond
19,Mary,Dempsey,Bellevue
20,Wanida,Benshoof,Sammamish
21,Terry,Eminhizer,Bellevue
22,Sariya,Harnpadoungsataya,Everett
23,Mary,Gibson,Everett
24,Jill,Williams,Everett
25,James,Hamilton,Monroe
26,Peter,Krebs,Bellevue
27,Jo,Brown,Duvall
28,Guy,Gilbert,Monroe
29,Mark,McArthur,Redmond
30,Britta,Simon,Edmonds
31,Margie,Shoop,Edmonds
32,Rebecca,Laszlo,Bellevue
33,Annik,Stahl,Seattle
34,Suchitra,Mohan,Bellevue
35,Brandon,Heidepriem,Redmond
36,Jose,Lugo,Seattle
37,Chris,Okelberry,Redmond
38,Kim,Abercrombie,Carnation
39,Ed,Dudenhoefer,Seattle
40,JoLynn,Dobney,Seattle
41,Bryan,Baker,Monroe
42,James,Kramer,Monroe
43,Nancy,Anderson,Sammamish
44,Simon,Rapier,Duvall
45,Thomas,Michaels,Edmonds
46,Eugene,Kogan,Duvall
47,Andrew,Hill,Everett
48,Ruth,Ellerbrock,Everett
49,Barry,Johnson,Snohomish
50,Sidney,Higa,Edmonds
51,Jeffrey,Ford,Monroe
52,Doris,Hartwig,Kenmore
53,Diane,Glimp,Redmond
54,Bonnie,Kearney,Snohomish
55,Taylor,Maxwell,Edmonds
56,Denise,Smith,Kenmore
57,Frank,Miller,Snohomish
58,Kendall,Keil,Seattle
59,Bob,Hohman,Bothell
60,Pete,Male,Seattle
61,Diane,Tibbott,Kenmore
62,John,Campbell,Seattle
63,Maciej,Dusza,Edmonds
64,Michael,Zwilling,Edmonds
65,Randy,Reeves,Edmonds
66,Karan,Khanna,Seattle
67,Jay,Adams,Monroe
68,Charles,Fitzgerald,Sammamish
69,Steve,Masters,Seattle
70,David,Ortiz,Seattle
71,Michael,Ray,Seattle
72,Steven,Selikoff,Everett
73,Carole,Poland,Edmonds
74,Bjorn,Rettig,Seattle
75,Michiko,Osada,Sammamish
76,Carol,Philips,Bothell
77,Merav,Netz,Seattle
78,Reuben,D'sa,Seattle
79,Eric,Brown,Duvall
80,Sandeep,Kaliyath,Sammamish
81,Mihail,Frintu,Edmonds
82,Jack,Creasey,Seattle
83,Patrick,Cook,Seattle
84,Frank,Martinez,Snohomish
